"","st_icpsr_MI_rate_black","vra2_x_post1965","state","year","st_census_urban_perc"
"93",103.198869047442,0,"Kentucky","1951",0.376228025555612
"94",70.243484177672,0,"Arizona","1951",0.571876305341718
"95",99.9907833885499,0,"Texas","1951",0.637435102462767
"96",103.293276364824,0,"Delaware","1951",0.63205827474594
"97",116.240274327359,0,"Missouri","1951",0.619797402620314
"98",1.61908903581448,0,"South Carolina","1951",0.373413157463073
"99",71.8563842773438,0,"Georgia","1951",0.461316663026807
"100",71.9129605870677,0,"Alabama","1951",0.44570461809635
"101",23.8860049373675,0,"New Mexico","1951",0.51361782550812
"102",60.30994546187,0,"Mississippi","1951",0.287045365571977
"103",72.3710050752885,0,"West Virginia","1951",0.348295468091965
"104",118.749218983983,0,"Oklahoma","1951",0.519275134801866
"105",46.4878391415932,0,"Tennessee","1951",0.44924268424511
